category,title,company,location,stipend,duration,skills,description,detail_url
Software Development,Data Annotation,Daten & Wissen Private Limited,Mira Bhayandar,"₹ 4,500 - 5,000 /month",,"Computer Vision, Data Annotation, Data entry, Data Structures, MS-Excel, Certificate","About the internship

    Selected intern's day-to-day responsibilities include:

1. Perform daily data annotation tasks as per project guidelines.
2. Test and validate annotated data to ensure accuracy and consistency.
3. Label image-based data according to defined standards and instructions.
4. Handle data entry tasks with attention to detail and correctness.
5. Collect and gather data from assigned sources to support project requirements.
    Skill(s) required
    
                    Computer Vision
                    Data Annotation
                    Data entry
                    Data Structures
                    MS-Excel
            
    
        Earn certifications in these skills
        
            
                                    
                        Learn Data Structures
                    
                                    
                        Learn MS-Excel
                    
                            

        
    
            Who can apply
                
                    Only those candidates can apply who:
                                
                1. are available for full time (in-office) internship                    
                                    
                2. can start the internship between 21st Apr'26 and 26th May'26                    
                                    
                3. are available for duration of 6 months                    
                                    
                4. are from Mira Bhayandar only                    
                                    
                5. have relevant skills and interests                    
                                * Women wanting to start/restart their career can also apply.
                
                Other requirements
            
                                    
                    1. Basic computer knowledge and operator                
                                
                    2. Good communication skills                
                            
                Perks
    
                    Certificate
            
        Number of openings
    
        2    
        
                    About Daten & Wissen Private Limited                
            
            Website 
        
        
        Daten & Wissen is a customized artificial intelligence solutions provider working on some of the state-of-the-art technologies to convert it into a successful business run. The company was incorporated last year in Mumbai. It was established to enter the world of artificial intelligence, innovate and help clients leverage the power of AI to increase their business. It is a DPIIT-recognized startup and also an NVIDIA Inception startup partner.    

    Activity on Internshala
    
                    
                
                Hiring since October 2021
            
                
            
            96 opportunities posted
        
                    
                
                9 candidates hired
                            
                


    
                    
                    
                        Apply now
                    
                
                


    
        
            
                
                    Additional Questions
                
                ×
            
            
                            
            
                Close
            
        
    




    
        
            
                
                    Sign up to continue
                    
                
                

    
        Candidate sign up
    

    
            
            
                
                    
                
                
                    Sign up/ Login with Google
                
            
        
        
            
                
                
                    Sign up with Email
                
            
        
        
        
                    
                
                    OR
                
                
            
        
        
                        

            
            
            
            

            
            
                Email
                
            
            
                Password
                
            
            
                
                    
                        First Name
                        
                    
                
                
                    
                        Last Name
                        
                    
                
            
            Sign up
        
        
        
            By continuing as a candidate, you agree to our T&C.
        
        Already registered?
                            Login
                    
            



    var to_show_recaptcha = 0;

            
        
    





    var to_trigger_already_applied_btn_ga = 0;",https://internshala.com/internship/detail/data-annotation-internship-in-mira-bhayandar-at-daten-wissen-private-limited1776763046
Software Development,Stock Trading Research,Certiwisehub,Work from home,"₹ 1,500 - 2,000 /month",,"Equity Research, Financial Analysis, Financial literacy, Interpersonal skills, Logical reasoning, Market Analysis, Certificate, Letter of recommendation, Flexible work hours","About the work from home job/internship

    Selected intern's day-to-day responsibilities include: 

1. Analyze stock price movements, volume trends, and technical indicators.
2. Prepare daily/weekly trading reports and actionable trade ideas.
3. Track market news, corporate actions, and sector-specific updates.
4. Identify entry and exit levels using chart patterns and trading setups.
5. Use tools like TradingView, Excel, or broker platforms for technical analysis.
    Skill(s) required
    
                    Equity Research
                    Financial Analysis
                    Financial literacy
                    Interpersonal skills
                    Logical reasoning
                    Market Analysis
            
    
        Earn certifications in these skills
        
            
                                    
                        Learn Stocks and Trading
                    
                                    
                        Learn Interpersonal skills
                    
                                    
                        Learn VLSI
                    
                                    
                        Learn AI in Data Science
                    
                                    
                        Learn Effective Communication
                    
                                    
                        Learn Spanish
                    
                                    
                        Learn Arduino
                    
                                    
                        Learn VLSI Design
                    
                                    
                        Learn PCB Design
                    
                                    
                        Learn Embedded Systems
                    
                                    
                        Learn Cloud Computing
                    
                                    
                        Learn Graphic Design
                    
                                    
                        Learn Business Communication
                    
                                    
                        Learn Business Analytics
                    
                                    
                        Learn Financial modeling valuation
                    
                                    
                        Learn Personal Finance
                    
                                    
                        Learn Digital Marketing
                    
                                    
                        Learn 3D Printing
                    
                                    
                        Learn Git & Github
                    
                                    
                        Learn Software development
                    
                                    
                        Learn Vibe Coding
                    
                                    + 14 more skills
                            

        
    
            Who can apply
                
                    Only those candidates can apply who:
                                
                1. are available for the work from home job/internship                    
                                    
                2. can start the work from home job/internship between 1st May'26 and 5th Jun'26                    
                                    
                3. are available for duration of 1 month                    
                                    
                4. have relevant skills and interests                    
                                
                
        Perks
    
                    Certificate
                     Letter of recommendation
                     Flexible work hours
            
        Number of openings
    
        16    
        
                    About Certiwisehub                
            
            Website 
        
        
        In early 2024, while working closely with aspiring professionals, startup founders, and college students, we noticed a growing gap between theoretical knowledge and practical, industry-ready skills, especially in fast-evolving fields like digital marketing and financial services. At the same time, we observed that many online courses were either too generic, lacked certification credibility, or weren't aligned with real-world outcomes like job readiness, freelancing potential, or financial literacy. To solve this, CertiWiseHub was founded with one clear mission: 'To empower learners with industry-relevant skills, backed by credible certifications, in the fields of digital marketing.' The overwhelming response from our early learners, interns, and partner brands encouraged us to go bigger. We created structured learning modules, internship-integrated courses, and launched our official certification programs under the CertiWiseHub.    

    Activity on Internshala
    
                    
                
                Hiring since May 2025
            
                
            
            114 opportunities posted
        
            


    
                    
                    
                        Apply now
                    
                
                


    
        
            
                
                    Additional Questions
                
                ×
            
            
                            
            
                Close
            
        
    




    
        
            
                
                    Sign up to continue
                    
                
                

    
        Candidate sign up
    

    
            
            
                
                    
                
                
                    Sign up/ Login with Google
                
            
        
        
            
                
                
                    Sign up with Email
                
            
        
        
        
                    
                
                    OR
                
                
            
        
        
                        

            
            
            
            

            
            
                Email
                
            
            
                Password
                
            
            
                
                    
                        First Name
                        
                    
                
                
                    
                        Last Name
                        
                    
                
            
            Sign up
        
        
        
            By continuing as a candidate, you agree to our T&C.
        
        Already registered?
                            Login
                    
            



    var to_show_recaptcha = 0;

            
        
    





    var to_trigger_already_applied_btn_ga = 0;",https://internshala.com/internship/detail/work-from-home-part-time-stock-trading-research-internship-at-certiwisehub1777610289
Software Development,Game Development,Maneesh Meena,Work from home,"₹ 1,001 - 1,500 /month",,"C#, Game development, Unity Engine, Certificate, Letter of recommendation, Flexible work hours","About the work from home job/internship

    Selected intern's day-to-day responsibilities include:

1. Assist in the design and development of 2D games (card games and 2D Games).
2. Work with GoDot, Unity.
3. Implement gameplay mechanics, UI elements & interactive storytelling features.
4. Collaborate on brainstorming sessions for game storylines, card mechanics, and visual assets.
5. Test and debug game builds to ensure a smooth user experience.
6. Test the game with the target user group for feedback.
7. Contribute creative ideas to enhance player engagement and retention.
8. Document progress and share daily updates with the team.
    Skill(s) required
    
                    C#
                    Game development
                    Unity Engine
            
    
        Earn certifications in these skills
        
            
                                    
                        Learn AR/VR Using C#
                    
                                    
                        Learn AR/VR using Unity
                    
                                    
                        Learn VLSI
                    
                                    
                        Learn AI in Data Science
                    
                                    
                        Learn Cloud Computing
                    
                                    
                        Learn Embedded Systems
                    
                                    
                        Learn AR/VR
                    
                                    
                        Learn Git & Github
                    
                                    
                        Learn Software development
                    
                                    
                        Learn Vibe Coding
                    
                                    + 3 more skills
                            

        
    
            Who can apply
                
                    Only those candidates can apply who:
                                
                1. are available for the work from home job/internship                    
                                    
                2. can start the work from home job/internship between 1st May'26 and 5th Jun'26                    
                                    
                3. are available for duration of 3 months                    
                                    
                4. have relevant skills and interests                    
                                * Women wanting to start/restart their career can also apply.
                
                Other requirements
            
                                    
                    1. Anyone who is willing to learn along the way and has an interest in game development.                
                            
                Perks
    
                    Certificate
                     Letter of recommendation
                     Flexible work hours
            
        Additional information
    
                
                
                    Stipend Structure:
                        Fixed pay: ₹ 1,000 /month
                    
                    
                        Incentive pay: ₹ 1 - 500 /month
                     
                
                            
        Number of openings
    
        3    
        
                    About Maneesh Meena                
            
            LinkedIn profile 
        
        
        I'm a working professional and an entrepreneur who is working on new idea which will disrupt the gaming & overall content industry.    

    Activity on Internshala
    
                    
                
                Hiring since July 2025
            
                
            
            10 opportunities posted
        
                    
                
                10 candidates hired
                            
                


    
                    
                    
                        Apply now
                    
                
                


    
        
            
                
                    Additional Questions
                
                ×
            
            
                            
            
                Close
            
        
    




    
        
            
                
                    Sign up to continue
                    
                
                

    
        Candidate sign up
    

    
            
            
                
                    
                
                
                    Sign up/ Login with Google
                
            
        
        
            
                
                
                    Sign up with Email
                
            
        
        
        
                    
                
                    OR
                
                
            
        
        
                        

            
            
            
            

            
            
                Email
                
            
            
                Password
                
            
            
                
                    
                        First Name
                        
                    
                
                
                    
                        Last Name
                        
                    
                
            
            Sign up
        
        
        
            By continuing as a candidate, you agree to our T&C.
        
        Already registered?
                            Login
                    
            



    var to_show_recaptcha = 0;

            
        
    





    var to_trigger_already_applied_btn_ga = 0;",https://internshala.com/internship/detail/work-from-home-game-development-internship-at-maneesh-meena1777608623
Software Development,Python Backend Developer,ATversion,Ahmedabad,"₹ 3,000 - 5,000 /month",,"Django, Django Rest Framework, Machine Learning, Python, REST API, Certificate, Letter of recommendation, 5 days a week","About the internship

    Selected intern's day-to-day responsibilities include: 

1. Build scalable backend APIs using Django & Django REST Framework (DRF)
2. Design efficient database schemas and optimize queries
3. Integrate modern AI tools and LLM-powered features
4. Implement RAG-based AI workflows
5. Work on real production systems and live applications
6. Collaborate with frontend developers to build complete platforms
    Skill(s) required
    
                    Django
                    Django Rest Framework
                    Machine Learning
                    Python
                    REST API
            
    
        Earn certifications in these skills
        
            
                                    
                        Learn Machine Learning
                    
                                    
                        Learn Python
                    
                            

        
    
            Who can apply
                
                    Only those candidates can apply who:
                                
                1. are available for full time (in-office) internship                    
                                    
                2. can start the internship between 24th Apr'26 and 29th May'26                    
                                    
                3. are available for duration of 6 months                    
                                    
                4. are from Ahmedabad only                    
                                    
                5. have relevant skills and interests                    
                                
                
                Other requirements
            
                                    
                    1. Strong knowledge of Python & Django                
                                
                    2. Hands-on experience with Django REST Framework (DRF)                
                                
                    3. Understanding of REST APIs & backend architecture                
                                
                    4. Familiarity with PostgreSQL/MySQL                
                                
                    5. Basic understanding of LLMs, RAG, or AI integrations                
                                
                    6. Experience with API integrations & third-party services                
                                
                    7. Knowledge of authentication, security, and backend optimization                
                            
                Perks
    
                    Certificate
                     Letter of recommendation
                     5 days a week
            
        Number of openings
    
        1    
        
                    About ATversion                
        
        Empowering businesses with digital marketing, web solutions & professional skill training programs. Start your journey with our digital marketing services, SEO & GEO marketing, and industry-ready training & internship programs in Ahmedabad. Helping brands grow online while helping learners build real-world skills.    

    Activity on Internshala
    
                    
                
                Hiring since February 2026
            
                
            
            2 opportunities posted
        
            


    
                    
                    
                        Apply now
                    
                
                


    
        
            
                
                    Additional Questions
                
                ×
            
            
                            
            
                Close
            
        
    




    
        
            
                
                    Sign up to continue
                    
                
                

    
        Candidate sign up
    

    
            
            
                
                    
                
                
                    Sign up/ Login with Google
                
            
        
        
            
                
                
                    Sign up with Email
                
            
        
        
        
                    
                
                    OR
                
                
            
        
        
                        

            
            
            
            

            
            
                Email
                
            
            
                Password
                
            
            
                
                    
                        First Name
                        
                    
                
                
                    
                        Last Name
                        
                    
                
            
            Sign up
        
        
        
            By continuing as a candidate, you agree to our T&C.
        
        Already registered?
                            Login
                    
            



    var to_show_recaptcha = 0;

            
        
    





    var to_trigger_already_applied_btn_ga = 0;",https://internshala.com/internship/detail/python-backend-developer-internship-in-ahmedabad-at-atversion1777295239
Software Development,Flutter Development,Connectezy,Chennai,"₹ 2,000 - 20,000 /month",,"Android, Dart, Firebase, Flutter, iOS, Mobile Application Development, REST API, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages","About the internship

    As a Flutter development intern at Connectezy, you will work alongside our experienced team to create cutting-edge mobile applications using Flutter, Dart, iOS, Android, REST API, and Firebase technologies. Your creativity and passion for mobile app development will be fostered in a supportive and collaborative environment, where you will have the opportunity to learn and grow.

Selected intern's day-to-day responsibilities include:

1. Collaborate with the development team to design and implement new features for mobile applications.
2. Write clean, maintainable, and efficient code in Flutter and Dart.
3. Develop and integrate REST APIs for seamless communication between the front-end and back-end.
4. Utilize Firebase for real-time data syncing and cloud messaging.
5. Conduct thorough testing and debugging to ensure high-quality performance of the applications.
6. Stay up-to-date with the latest trends and technologies in mobile app development.
7. Contribute ideas and solutions to enhance user experience and overall functionality of the applications.
    Skill(s) required
    
                    Android
                    Dart
                    Firebase
                    Flutter
                    iOS
                    Mobile Application Development
                    REST API
            
    
        Earn certifications in these skills
        
            
                                    
                        Learn Android
                    
                                    
                        Learn VLSI
                    
                                    
                        Learn AI in Data Science
                    
                                    
                        Learn Cloud Computing
                    
                                    
                        Learn Embedded Systems
                    
                                    
                        Learn Andoid App Developement
                    
                                    
                        Learn Android App Development
                    
                                    
                        Learn Vibe Coding
                    
                                    
                        Learn Git & Github
                    
                                    
                        Learn Software development
                    
                                    + 3 more skills
                            

        
    
            Who can apply
                
                    Only those candidates can apply who:
                                
                1. are available for full time (in-office) internship                    
                                    
                2. can start the internship between 30th Apr'26 and 4th Jun'26                    
                                    
                3. are available for duration of 2 months                    
                                    
                4. have relevant skills and interests                    
                                * Women wanting to start/restart their career can also apply.
                
                Other requirements
            
                                    
                    Prior Flutter knowledge is a must.                
                            
                Perks
    
                    Certificate
                     Letter of recommendation
                     Flexible work hours
                     Informal dress code
                     5 days a week
                     Free snacks & beverages
            
        Number of openings
    
        2    
        
                    About Connectezy                
            
            Website 
        
        
        Connectezy is a gamified, high-engagement networking platform specially designed for alumni associations.
    

    Activity on Internshala
    
                    
                
                Hiring since April 2026
            
                
            
            1 opportunity posted
        
            


    
                    
                    
                        Apply now
                    
                
                


    
        
            
                
                    Additional Questions
                
                ×
            
            
                            
            
                Close
            
        
    




    
        
            
                
                    Sign up to continue
                    
                
                

    
        Candidate sign up
    

    
            
            
                
                    
                
                
                    Sign up/ Login with Google
                
            
        
        
            
                
                
                    Sign up with Email
                
            
        
        
        
                    
                
                    OR
                
                
            
        
        
                        

            
            
            
            

            
            
                Email
                
            
            
                Password
                
            
            
                
                    
                        First Name
                        
                    
                
                
                    
                        Last Name
                        
                    
                
            
            Sign up
        
        
        
            By continuing as a candidate, you agree to our T&C.
        
        Already registered?
                            Login
                    
            



    var to_show_recaptcha = 0;

            
        
    





    var to_trigger_already_applied_btn_ga = 0;",https://internshala.com/internship/detail/flutter-development-internship-in-chennai-at-connectezy1777616707
Software Development,Developer Of Automation Tools,Jaishil Sulphur And Chemical Industries,Mumbai,"₹ 4,000 - 5,000 /month",,"JSON, Python, Certificate, Letter of recommendation, Flexible work hours, 5 days a week","About part time job/internship

    We are currently seeking a talented developer of automation tools intern with expertise in Python and JSON to join our team at Jaishil Sulphur And Chemical Industries. This is an exciting opportunity to work on cutting-edge automation projects and gain valuable experience in the chemical industry. 

Selected intern's day-to-day responsibilities include:

1. Collaborating with our team to develop and implement automation tools using Python and JSON.
2. Analyzing and troubleshooting existing automation processes to enhance efficiency and effectiveness.
3. Writing clean, maintainable code to support automation initiatives across various departments.
4. Testing and debugging automation scripts to ensure optimal performance and reliability.
5. Assisting in the design and implementation of new automation solutions to streamline workflows.
6. Providing support and training to end-users on utilizing automation tools effectively.
7. Staying current on industry trends and best practices in automation development to contribute innovative ideas to the team.

If you have a passion for automation technology and a strong foundation in Python and JSON, we would love to hear from you. Apply now to take the next step in your career with Jaishil Sulphur And Chemical Industries.
    Skill(s) required
    
                    JSON
                    Python
            
    
        Earn certifications in these skills
        
            
                                    
                        Learn Python
                    
                                    
                        Learn VLSI
                    
                                    
                        Learn AI in Data Science
                    
                                    
                        Learn Cloud Computing
                    
                                    
                        Learn Embedded Systems
                    
                                    
                        Learn Data Structures & Algorithms
                    
                                    
                        Learn Web Development
                    
                                    
                        Learn Web development
                    
                                    
                        Learn Vibe Coding
                    
                                    
                        Learn Git & Github
                    
                                    
                        Learn Software development
                    
                                    + 4 more skills
                            

        
    
            Who can apply
                
                    Only those candidates can apply who:
                                
                1. are available for the part time job/internship                    
                                    
                2. can start the part time job/internship between 26th Apr'26 and 31st May'26                    
                                    
                3. are available for duration of 3 months                    
                                    
                4. are from Mumbai only                    
                                    
                5. have relevant skills and interests                    
                                * Women wanting to start/restart their career can also apply.
                
                Other requirements
            
                                    
                    A full-time role may also be offered based on performance.                
                            
                Perks
    
                    Certificate
                     Letter of recommendation
                     Flexible work hours
                     5 days a week
            
        Number of openings
    
        1    
        
                    About Jaishil Sulphur And Chemical Industries                
        
        Jaishil Sulphur and Chemical Industries is a manufacturer of sulphur-based products used for industrial and agricultural purposes, as well as other fertilisers. Products include sulphur powder, sulphur 80% WDG, 55.16% SC, and micronutrients.
    

    Activity on Internshala
    
                    
                
                Hiring since April 2026
            
                
            
            1 opportunity posted
        
            


    
                    
                    
                        Apply now
                    
                
                


    
        
            
                
                    Additional Questions
                
                ×
            
            
                            
            
                Close
            
        
    




    
        
            
                
                    Sign up to continue
                    
                
                

    
        Candidate sign up
    

    
            
            
                
                    
                
                
                    Sign up/ Login with Google
                
            
        
        
            
                
                
                    Sign up with Email
                
            
        
        
        
                    
                
                    OR
                
                
            
        
        
                        

            
            
            
            

            
            
                Email
                
            
            
                Password
                
            
            
                
                    
                        First Name
                        
                    
                
                
                    
                        Last Name
                        
                    
                
            
            Sign up
        
        
        
            By continuing as a candidate, you agree to our T&C.
        
        Already registered?
                            Login
                    
            



    var to_show_recaptcha = 0;

            
        
    





    var to_trigger_already_applied_btn_ga = 0;",https://internshala.com/internship/detail/part-time-developer-of-automation-tools-internship-in-mumbai-at-jaishil-sulphur-and-chemical-industries1777264238
Software Development,Unreal Artist,VU Electroics,Pune,"₹ 6,000 - 12,000 /month",,"Autodesk 3ds Max, Unreal Engine, Certificate, Letter of recommendation, Informal dress code","About the internship

    Selected intern's day-to-day responsibilities include: 

1. Create architectural visualisations using Unreal Engine
2. Enhance lighting quality to improve realism and visual impact
3. Improve overall design elements to achieve better aesthetics and functionality
    Skill(s) required
    
                    Autodesk 3ds Max
                    Unreal Engine
            
    
        Earn certifications in these skills
        
            
                                    
                        Learn VLSI
                    
                                    
                        Learn AI in Data Science
                    
                                    
                        Learn Cloud Computing
                    
                                    
                        Learn Embedded Systems
                    
                                    
                        Learn AR/VR
                    
                                    
                        Learn Git & Github
                    
                                    
                        Learn Software development
                    
                                    
                        Learn Vibe Coding
                    
                                    
                        Learn Graphic Design 
                    
                                    + 2 more skills
                            

        
    
            Who can apply
                
                    Only those candidates can apply who:
                                
                1. are available for full time (in-office) internship                    
                                    
                2. can start the internship between 21st Apr'26 and 26th May'26                    
                                    
                3. are available for duration of 6 months                    
                                    
                4. are from Pune only                    
                                    
                5. have relevant skills and interests                    
                                * Women wanting to start/restart their career can also apply.
                
        Perks
    
                    Certificate
                     Letter of recommendation
                     Informal dress code
            
        Number of openings
    
        1    
        
                    About VU Electroics                
        
        We are an electronic consultancy company located in Pune working on core custom electronic projects. Dealing with PCB design, embedded software, electronics hardware.    

    Activity on Internshala
    
                    
                
                Hiring since October 2023
            
                
            
            11 opportunities posted
        
            


    
                    
                    
                        Apply now
                    
                
                


    
        
            
                
                    Additional Questions
                
                ×
            
            
                            
            
                Close
            
        
    




    
        
            
                
                    Sign up to continue
                    
                
                

    
        Candidate sign up
    

    
            
            
                
                    
                
                
                    Sign up/ Login with Google
                
            
        
        
            
                
                
                    Sign up with Email
                
            
        
        
        
                    
                
                    OR
                
                
            
        
        
                        

            
            
            
            

            
            
                Email
                
            
            
                Password
                
            
            
                
                    
                        First Name
                        
                    
                
                
                    
                        Last Name
                        
                    
                
            
            Sign up
        
        
        
            By continuing as a candidate, you agree to our T&C.
        
        Already registered?
                            Login
                    
            



    var to_show_recaptcha = 0;

            
        
    





    var to_trigger_already_applied_btn_ga = 0;",https://internshala.com/internship/detail/unreal-artist-internship-in-pune-at-vu-electroics1776766912
Software Development,Game Development,RJPT Informatics,Raipur,"₹ 6,000 /month",,"C#, JavaScript, Script Writing, Unity Engine, Certificate, Letter of recommendation, Job offer","About the internship

    Program Objective:
To train and develop skilled Unity Developers ready to contribute to real-world 3D Game Development and Simulation Projects.

Program Structure
Phase 1 - 2 Months Training (Hands-On Projects)

Location: Raipur Office (as per availability)
Objective: Build strong practical knowledge of Unity Engine and 3D game development fundamentals.

Key Learning Areas:
1. Unity Interface & Project Structure
2. C# Scripting in Unity
3. 3D Object Manipulation
4. Physics, Collisions, and Animation Systems
5. Lighting, Materials, Shaders
6. UI Development in Unity
7. Prefabs & Asset Management
8. Input Handling (Keyboard, Mouse, Touch)
9. Basic Multiplayer Concepts
10. Building and Exporting Projects

Final Training Project: Build a simple interactive 3D game or simulation.

Phase 2 - 4 Months On-Site Internship
Location: RJPT Informatics Pvt Ltd - Raipur Office
Objective: Apply learned skills by contributing to real-time projects related to 3D Simulation Software and Games.

Selected intern's day-to-day responsibilities include:

1. Work on ongoing projects under guidance of senior developers.
2. Develop features/modules in Unity using advanced C# scripting.
3. Implement optimized game mechanics.
4. Integrate external APIs and SDKs as needed.
5. Collaborate with designers, artists, and other developers.
6. Participate in code reviews and team discussions.
7. Test and debug code to meet industry standards.

1. Document project progress regularly.
2. Performance Review: Monthly evaluation by project manager.
3. Eligibility Criteria
4. Educational Background: Bachelor's or Diploma in Computer Science, IT, Game Development, or related fields.
5. Strong knowledge of C# scripting.
6. Understanding of OOP concepts and game programming paradigms.
7. Familiarity with Unity Editor and 3D game development basics.
8. Experience working with version control (Git).
9. Passion for 3D game development and simulations.
10. Good problem-solving attitude and commitment.
11. Serious candidates only.

Program Outcome
1. Industry-ready Unity Developer.
2. Hands-on experience in professional game/simulation development.
3. Strong portfolio with training project + contribution to real projects.
4. Certificate of Internship Completion from RJPT Informatics.

Important Notes
This is a serious, on-site internship program (Raipur Office) after training.
No stipend provided during the training period. Stipend possible during the internship phase based on performance (decided by management).
Only motivated candidates should apply.
    Skill(s) required
    
                    C#
                    JavaScript
                    Script Writing
                    Unity Engine
            
    
        Earn certifications in these skills
        
            
                                    
                        Learn AR/VR Using C#
                    
                                    
                        Learn Node.JS using Javascript
                    
                                    
                        Learn Software Testing using Javascript
                    
                                    
                        Learn JavaScript
                    
                                    
                        Learn AR/VR using Unity
                    
                            

        
    
            Who can apply
                
                    Only those candidates can apply who:
                                
                1. are available for full time (in-office) internship                    
                                    
                2. can start the internship between 30th Apr'26 and 4th Jun'26                    
                                    
                3. are available for duration of 6 months                    
                                    
                4. have relevant skills and interests                    
                                
                
        Perks
    
                    Certificate
                     Letter of recommendation
                     Job offer
            
        Additional information
    
                Job offer: On successful conversion to a permanent employee, the candidate can expect a salary of ₹ 200000 to 300000/year                
        Number of openings
    
        3    
        
                    About RJPT Informatics                
        
        RJPT Informatics Pvt Ltd is a pioneering company specializing in the development of cutting-edge 3D simulation software tailored for the pharmacy industry and nursing sector. Our innovative solutions are designed to enhance the learning and training experience for professionals in these fields, providing them with a virtual environment to explore and interact with complex medical scenarios.    

    Activity on Internshala
    
                    
                
                Hiring since June 2024
            
                
            
            14 opportunities posted
        
                    
                
                4 candidates hired
                            
                


    
                    
                    
                        Apply now
                    
                
                


    
        
            
                
                    Additional Questions
                
                ×
            
            
                            
            
                Close
            
        
    




    
        
            
                
                    Sign up to continue
                    
                
                

    
        Candidate sign up
    

    
            
            
                
                    
                
                
                    Sign up/ Login with Google
                
            
        
        
            
                
                
                    Sign up with Email
                
            
        
        
        
                    
                
                    OR
                
                
            
        
        
                        

            
            
            
            

            
            
                Email
                
            
            
                Password
                
            
            
                
                    
                        First Name
                        
                    
                
                
                    
                        Last Name
                        
                    
                
            
            Sign up
        
        
        
            By continuing as a candidate, you agree to our T&C.
        
        Already registered?
                            Login
                    
            



    var to_show_recaptcha = 0;

            
        
    





    var to_trigger_already_applied_btn_ga = 0;",https://internshala.com/internship/detail/game-development-internship-in-raipur-at-rjpt-informatics1777527395
