listing_id,company,internship_title,domain,mode,location,country,stipend,stipend_currency,duration_months,required_skills,num_required_skills,bonus_skills,min_cgpa_required,min_year_required,eligible_branches,degree_required,experience_required,ppo_offered,certificate_provided,total_openings,total_applicants,posted_on,apply_by,company_tier,skill_coverage_score,is_relevant
LIST0001,CERT-In Partner,Cybersecurity Intern,Cybersecurity,Hybrid,Pune,India,15545,INR,1,Python|Linux|Wireshark|OWASP,4,Burp Suite|Cryptography,7.3,2,Electronics|Information Technology|Computer Science,MCA|B.E.,1-2 years,0,1,19,103,2024-07-28,2025-08-22,0,0.36,0
LIST0002,Zynga India,Full Stack Development Intern,Full Stack Development,On-site,Chennai,India,21193,INR,3,REST API|TypeScript|React,3,PostgreSQL|MongoDB,7.5,3,Electronics|Information Technology,BCA|B.Tech|B.Sc CS,1-2 years,0,1,15,272,2024-07-24,2025-04-23,0,0.3,0
LIST0003,Samsung R&D,Machine Learning Intern,Machine Learning,Remote,Remote,India,13609,INR,1,Model Deployment|Scikit-learn|XGBoost|Feature Engineering|Python|MLflow,6,Keras|Jupyter,6.0,1,Information Technology|Computer Engineering|AI & Data Science|Electronics|Computer Science,M.Tech|BCA,Fresher,0,1,5,109,2024-09-02,2025-06-23,0,0.6,1
LIST0004,LatentView,Data Science Intern,Data Science,Remote,Remote,India,13706,INR,6,Seaborn|Pandas|NumPy|Power BI,4,Statistics|Excel,7.0,2,AI & Data Science|Information Technology,B.Tech|M.Tech|B.Sc CS,0-1 year,0,1,7,211,2024-06-11,2025-10-27,0,0.33,0
LIST0005,Sankalp Semiconductor,Embedded Systems / IoT Intern,Embedded Systems / IoT,Hybrid,Chennai,India,25510,INR,6,Arduino|C|MQTT,3,Sensors|FreeRTOS,5.6,3,AI & Data Science|Computer Engineering|Computer Science,B.Sc CS|B.E.|M.Tech,0-1 year,0,1,15,944,2024-12-03,2025-05-15,0,0.27,0
LIST0006,LatentView,Data Science Intern,Data Science,On-site,Gurgaon,India,25473,INR,6,SQL|Seaborn|SciPy|Excel,4,Pandas|Statistics,6.7,3,Information Technology|Electronics|Computer Science|Computer Engineering|AI & Data Science,MCA,0-1 year,0,1,6,174,2024-12-07,2025-12-10,0,0.33,0
LIST0007,HashCash,Blockchain Intern,Blockchain,On-site,Chennai,India,29514,INR,6,Solidity|Ethereum|Hardhat|DeFi|Truffle|Web3.js,6,IPFS|MetaMask,7.3,2,Electronics|AI & Data Science|Computer Engineering|Computer Science|Information Technology,B.Tech|M.Tech,Fresher,0,1,18,216,2024-08-12,2025-01-14,0,0.6,0
LIST0008,Continental,Embedded Systems / IoT Intern,Embedded Systems / IoT,Hybrid,Delhi,India,23100,INR,3,Arduino|FreeRTOS|Assembly|IoT Protocols|Raspberry Pi,5,PCB Design|C++,5.6,2,Computer Science|Electronics|Computer Engineering|Information Technology|AI & Data Science,B.E.|B.Tech|MCA,1-2 years,0,1,16,187,2024-06-11,2025-09-01,0,0.45,1
LIST0009,Coinbase,Blockchain Intern,Blockchain,Remote,Remote,Singapore,3187,SGD,1,IPFS|Truffle|Web3.js|Ethereum|Rust,5,Solidity|MetaMask,5.1,3,Computer Science|AI & Data Science|Computer Engineering,B.Tech|BCA,0-1 year,0,1,9,345,2024-09-06,2025-04-04,1,0.5,1
LIST0010,Absolutdata,Data Science Intern,Data Science,On-site,Pune,India,30997,INR,2,Excel|Power BI|R|Statistics|Pandas,5,SciPy|NumPy,6.4,1,Information Technology|AI & Data Science|Electronics|Computer Engineering|Computer Science,B.Tech|B.Sc CS,1-2 years,1,1,4,67,2024-08-06,2025-07-07,0,0.42,1
